#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_016845.1",109050,110054,"+",11845078,,"KPHS_01000","YP_005224400.1",334,"N-acetyl-gamma-glutamyl-phosphate reductase"
"chromosome","NC_016845.1",110064,110837,"+",11845079,,"KPHS_01010","YP_005224401.1",257,"acetylglutamate kinase"
"chromosome","NC_016845.1",110937,112310,"+",11845080,,"KPHS_01020","YP_005224402.1",457,"argininosuccinate lyase"
"chromosome","NC_016845.1",112569,113486,"+",11845081,,"KPHS_01030","YP_005224403.1",305,"DNA-binding transcriptional regulator OxyR"
"chromosome","NC_016845.1",113469,114803,"-",11845082,,"KPHS_01040","YP_005224404.1",444,"soluble pyridine nucleotide transhydrogenase"
"chromosome","NC_016845.1",115066,115701,"+",11845083,,"KPHS_01050","YP_005224405.1",211,"fatty acid biosynthesis regulator"
"chromosome","NC_016845.1",115717,116076,"+",11845084,,"KPHS_01060","YP_005224406.1",119,"YijD family membrane protein"
"chromosome","NC_016845.1",116128,117228,"-",11845085,,"KPHS_01070","YP_005224407.1",366,"tRNA (uracil-5-)-methyltransferase"
"chromosome","NC_016845.1",117595,119433,"+",11845086,,"KPHS_01080","YP_005224408.1",612,"vitamin B12/cobalamin outer membrane transporter"
"chromosome","NC_016845.1",119447,120229,"+",11845087,,"KPHS_01090","YP_005224409.1",260,"glutamate racemase"
"chromosome","NC_016845.1",126077,126898,"-",11845091,,"KPHS_01100","YP_005224410.1",273,"transcriptional regulator HdfR"
"chromosome","NC_016845.1",127017,127355,"+",11845092,,"KPHS_01110","YP_005224411.1",112,"DUF413 domain-containing protein"
"chromosome","NC_016845.1",127380,128900,"-",11845093,,"KPHS_01120","YP_005224412.1",506,"putative 2-component regulator"
"chromosome","NC_016845.1",129103,129234,"-",11845094,,"KPHS_01130","YP_005224413.1",43,"hypothetical protein KPHS_01130"
"chromosome","NC_016845.1",129494,131140,"+",11845095,,"KPHS_01140","YP_005224414.1",548,"acetolactate synthase 2 catalytic subunit"
"chromosome","NC_016845.1",131137,131394,"+",11845096,,"KPHS_01150","YP_005224415.1",85,"acetolactate synthase 2 regulatory subunit"
"chromosome","NC_016845.1",131411,132340,"+",11845097,,"KPHS_01160","YP_005224416.1",309,"branched-chain amino acid aminotransferase"
"chromosome","NC_016845.1",132401,134251,"+",11845098,,"KPHS_01170","YP_005224417.1",616,"dihydroxy-acid dehydratase"
"chromosome","NC_016845.1",134311,135798,"+",11845099,,"KPHS_01180","YP_005224418.1",495,"threonine dehydratase"
"chromosome","NC_016845.1",135795,136685,"-",11845100,,"KPHS_01190","YP_005224419.1",296,"transcriptional activator protein"
"chromosome","NC_016845.1",136838,138313,"+",11845101,,"KPHS_01200","YP_005224420.1",491,"ketol-acid reductoisomerase"
"chromosome","NC_016845.1",138517,138798,"-",11845102,,"KPHS_01210","YP_005224421.1",93,"peptidyl-prolyl cis-trans isomerase C"
"chromosome","NC_016845.1",138850,139131,"-",11845103,,"KPHS_01220","YP_005224422.1",93,"peptidyl-prolyl cis-trans isomerase C"
"chromosome","NC_016845.1",139244,141265,"+",11845104,,"KPHS_01230","YP_005224423.1",673,"ATP-dependent DNA helicase Rep"
"chromosome","NC_016845.1",141270,141992,"-",11845105,,"KPHS_01240","YP_005224424.1",240,"putative transport protein"
"chromosome","NC_016845.1",142055,143053,"-",11845106,,"KPHS_01250","YP_005224425.1",332,"putative amidohydrolase 2"
"chromosome","NC_016845.1",143184,144110,"-",11845107,,"KPHS_01260","YP_005224426.1",308,"putative LysR family regulatory protein"
"chromosome","NC_016845.1",144130,145638,"-",11845108,,"KPHS_01270","YP_005224427.1",502,"guanosine pentaphosphatase"
"chromosome","NC_016845.1",145757,147022,"-",11845109,,"KPHS_01280","YP_005224428.1",421,"ATP-dependent RNA helicase RhlB"
"chromosome","NC_016845.1",147364,147693,"+",11845110,,"KPHS_01290","YP_005224429.1",109,"thioredoxin"
"chromosome","NC_016845.1",148024,149283,"+",11845111,,"KPHS_01300","YP_005224430.1",419,"transcription termination factor Rho"
"chromosome","NC_016845.1",149524,150627,"+",11845112,,"KPHS_01310","YP_005224431.1",367,"UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase"
"chromosome","NC_016845.1",150671,151687,"+",11845113,,"KPHS_01320","YP_005224432.1",338,"lipopolysaccharide biosynthesis protein WzzE"
"chromosome","NC_016845.1",151789,152874,"+",11845114,,"KPHS_01330","YP_005224433.1",361,"UDP-N-acetylglucosamine 2-epimerase"
"chromosome","NC_016845.1",152871,154133,"+",11845115,,"KPHS_01340","YP_005224434.1",420,"UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase"
"chromosome","NC_016845.1",154130,155197,"+",11845116,,"KPHS_01350","YP_005224435.1",355,"dTDP-glucose 4,6-dehydratase"
"chromosome","NC_016845.1",155216,156097,"+",11845117,,"KPHS_01360","YP_005224436.1",293,"glucose-1-phosphate thymidylyltransferase"
"chromosome","NC_016845.1",156075,156749,"+",11845118,,"KPHS_01370","YP_005224437.1",224,"TDP-fucosamine acetyltransferase"
"chromosome","NC_016845.1",156755,157885,"+",11845119,,"KPHS_01380","YP_005224438.1",376,"TDP-4-oxo-6-deoxy-D-glucose transaminase"
"chromosome","NC_016845.1",157887,159137,"+",11845120,,"KPHS_01390","YP_005224439.1",416,"entero common antigen translocase"
"chromosome","NC_016845.1",159134,160210,"+",11845121,,"KPHS_01400","YP_005224440.1",358,"4-alpha-L-fucosyltransferase"
"chromosome","NC_016845.1",160207,161553,"+",11845122,,"KPHS_01410","YP_005224441.1",448,"common antigen polymerase"
"chromosome","NC_016845.1",161565,162305,"+",11845123,,"KPHS_01420","YP_005224442.1",246,"putative UDP-N-acetyl-D-mannosaminuronic acid transferase"
"chromosome","NC_016845.1",162511,163896,"+",11845124,,"KPHS_01430","YP_005224443.1",461,"putative amino acid/amine transport protein"
"chromosome","NC_016845.1",164717,164890,"-",11845125,,"KPHS_01440","YP_005224444.1",57,"hypothetical protein KPHS_01440"
"chromosome","NC_016845.1",164897,166093,"-",11845126,,"KPHS_01450","YP_005224445.1",398,"protoheme IX biogenesis protein HemY"
"chromosome","NC_016845.1",166097,167278,"-",11845127,,"KPHS_01460","YP_005224446.1",393,"uroporphyrinogen III methylase"
"chromosome","NC_016845.1",167300,168040,"-",11845128,,"KPHS_01470","YP_005224447.1",246,"uroporphyrinogen-III synthase"
"chromosome","NC_016845.1",168037,168978,"-",11845129,,"KPHS_01480","YP_005224448.1",313,"porphobilinogen deaminase"
"chromosome","NC_016845.1",169203,169322,"-",11845130,,"KPHS_01490","YP_005224449.1",39,"hypothetical protein KPHS_01490"
"chromosome","NC_016845.1",169336,171888,"+",11845131,,"KPHS_01500","YP_005224450.1",850,"putative adenylate cyclase"
"chromosome","NC_016845.1",172022,172342,"-",11845132,,"KPHS_01510","YP_005224451.1",106,"frataxin-like protein"
"chromosome","NC_016845.1",172489,172692,"+",11845133,,"KPHS_01520","YP_005224452.1",67,"lipoprotein"
"chromosome","NC_016845.1",172728,173552,"+",11845134,,"KPHS_01530","YP_005224453.1",274,"diaminopimelate epimerase"
"chromosome","NC_016845.1",173549,174256,"+",11845135,,"KPHS_01540","YP_005224454.1",235,"DUF484 domain-containing protein"
"chromosome","NC_016845.1",174253,175155,"+",11845136,,"KPHS_01550","YP_005224455.1",300,"tyrosine recombinase"
"chromosome","NC_016845.1",175155,175871,"+",11845137,,"KPHS_01560","YP_005224456.1",238,"flavin mononucleotide phosphatase"
"chromosome","NC_016845.1",175935,178097,"+",11845138,,"KPHS_01570","YP_005224457.1",720,"DNA-dependent helicase II"
"chromosome","NC_016845.1",178058,178210,"+",11845139,,"KPHS_01580","YP_005224458.1",50,"50S ribosomal protein L15"
"chromosome","NC_016845.1",178453,179403,"+",11845140,,"KPHS_01590","YP_005224459.1",316,"magnesium and cobalt transport protein"
"chromosome","NC_016845.1",179446,180339,"-",11845141,,"KPHS_01600","YP_005224460.1",297,"chloramphenicol resistance"
"chromosome","NC_016845.1",180388,180852,"-",11845142,,"KPHS_01610","YP_005224461.1",154,"thioesterase family protein"
"chromosome","NC_016845.1",181005,181865,"+",11845143,,"KPHS_01620","YP_005224462.1",286,"phospholipase A"
"chromosome","NC_016845.1",181933,183759,"+",11845144,,"KPHS_01630","YP_005224463.1",608,"ATP-dependent DNA helicase"
"chromosome","NC_016845.1",183821,184441,"+",11845145,,"KPHS_01640","YP_005224464.1",206,"threonine efflux system"
"chromosome","NC_016845.1",184486,185394,"-",11845146,,"KPHS_01650","YP_005224465.1",302,"ISNCY family transposase"
"chromosome","NC_016845.1",185557,186177,"-",11845147,,"KPHS_01660","YP_005224466.1",206,"homoserine/homoserine lactone efflux protein"
"chromosome","NC_016845.1",186287,187279,"+",11845148,,"KPHS_01670","YP_005224467.1",330,"lysophospholipase L2"
"chromosome","NC_016845.1",187324,188124,"+",11845149,,"KPHS_01680","YP_005224468.1",266,"putative sugar phosphatase"
"chromosome","NC_016845.1",188213,189112,"+",11845150,,"KPHS_01690","YP_005224469.1",299,"putative transport protein"
"chromosome","NC_016845.1",190201,192465,"+",11845151,,"KPHS_01700","YP_005224470.1",754,"5-methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase"
"chromosome","NC_016845.1",192524,193336,"-",11845152,,"KPHS_01710","YP_005224471.1",270,"putative dienelactone hydrolase"
"chromosome","NC_016845.1",193609,194370,"+",11845153,,"KPHS_01720","YP_005224472.1",253,"uridine phosphorylase"
"chromosome","NC_016845.1",194506,195954,"+",11845154,,"KPHS_01730","YP_005224473.1",482,"DNA recombination protein RmuC"
"chromosome","NC_016845.1",196025,196780,"+",11845155,,"KPHS_01740","YP_005224474.1",251,"ubiquinone/menaquinone biosynthesis methyltransferase"
"chromosome","NC_016845.1",196794,197399,"+",11845156,,"KPHS_01750","YP_005224475.1",201,"SCP2 domain-containing protein"
"chromosome","NC_016845.1",197396,199036,"+",11845157,,"KPHS_01760","YP_005224476.1",546,"putative ubiquinone biosynthesis protein UbiB"
"chromosome","NC_016845.1",199166,199417,"+",11845158,,"KPHS_01770","YP_005224477.1",83,"twin arginine translocase protein A"
"chromosome","NC_016845.1",199421,199957,"+",11845159,,"KPHS_01780","YP_005224478.1",178,"sec-independent protein translocase TatB"
"chromosome","NC_016845.1",199960,200739,"+",11845160,,"KPHS_01790","YP_005224479.1",259,"TatABCE protein translocation system subunit"
"chromosome","NC_016845.1",200772,201575,"+",11845161,,"KPHS_01800","YP_005224480.1",267,"deoxyribonuclease TatD"
"chromosome","NC_016845.1",201572,202060,"-",11845162,,"KPHS_01810","YP_005224481.1",162,"transcriptional activator RfaH"
"chromosome","NC_016845.1",202100,202219,"+",11845163,,"KPHS_01820","YP_005224482.1",39,"hypothetical protein KPHS_01820"
"chromosome","NC_016845.1",202239,203714,"+",11845164,,"KPHS_01830","YP_005224483.1",491,"3-octaprenyl-4-hydroxybenzoate carboxy-lyase"
"chromosome","NC_016845.1",203764,204465,"+",11845165,,"KPHS_01840","YP_005224484.1",233,"FMN reductase"
"chromosome","NC_016845.1",204573,205736,"-",11845166,,"KPHS_01850","YP_005224485.1",387,"acetyl-CoA acetyltransferase"
"chromosome","NC_016845.1",205746,207935,"-",11845167,,"KPHS_01860","YP_005224486.1",729,"3-hydroxyacyl-CoA dehydrogenase/3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase"
"chromosome","NC_016845.1",208127,209458,"+",11845168,,"KPHS_01870","YP_005224487.1",443,"proline dipeptidase"
"chromosome","NC_016845.1",209458,210072,"+",11845169,,"KPHS_01880","YP_005224488.1",204,"IMPACT family protein"
"chromosome","NC_016845.1",210111,211562,"+",11845170,,"KPHS_01890","YP_005224489.1",483,"potassium transport protein"
"chromosome","NC_016845.1",211574,212107,"+",11845171,,"KPHS_01900","YP_005224490.1",177,"protoporphyrinogen oxidase"
"chromosome","NC_016845.1",217993,219021,"+",11845175,,"KPHS_01910","YP_005224491.1",342,"UDP-N-acetylmuramate dehydrogenase"
"chromosome","NC_016845.1",219018,219980,"+",11845176,,"KPHS_01920","YP_005224492.1",320,"biotin--protein ligase"
"chromosome","NC_016845.1",220006,220872,"-",11845177,,"KPHS_01930","YP_005224493.1",288,"pantothenate kinase"
"chromosome","NC_016845.1",221942,223126,"+",11845178,,"KPHS_01940","YP_005224494.1",394,"elongation factor Tu"
"chromosome","NC_016845.1",223463,223846,"+",11845179,,"KPHS_01950","YP_005224495.1",127,"preprotein translocase subunit SecE"
"chromosome","NC_016845.1",223848,224393,"+",11845180,,"KPHS_01960","YP_005224496.1",181,"transcription antitermination protein NusG"
"chromosome","NC_016845.1",224550,224978,"+",11845181,,"KPHS_01970","YP_005224497.1",142,"50S ribosomal protein L11"
"chromosome","NC_016845.1",224982,225686,"+",11845182,,"KPHS_01980","YP_005224498.1",234,"50S ribosomal protein L1"
"chromosome","NC_016845.1",226100,226597,"+",11845183,,"KPHS_01990","YP_005224499.1",165,"50S ribosomal protein L10"
"chromosome","NC_016845.1",226664,227029,"+",11845184,,"KPHS_02000","YP_005224500.1",121,"50S ribosomal protein L7/L12"
"chromosome","NC_016845.1",227354,231382,"+",11845185,,"KPHS_02010","YP_005224501.1",1342,"DNA-directed RNA polymerase subunit beta"
"chromosome","NC_016845.1",231459,235682,"+",11845186,,"KPHS_02020","YP_005224502.1",1407,"DNA-directed RNA polymerase subunit beta\\'"
"chromosome","NC_016845.1",236083,237423,"+",11845187,,"KPHS_02030","YP_005224503.1",446,"anaerobic C4-dicarboxylate transporter"
"chromosome","NC_016845.1",237466,237783,"-",11845188,,"KPHS_02040","YP_005224504.1",105,"putative PEP-dependent phosphotransferase enzyme III"
"chromosome","NC_016845.1",237787,238047,"-",11845189,,"KPHS_02050","YP_005224505.1",86,"PTS system lactose/cellobiose specific transporter subunit IIB"
"chromosome","NC_016845.1",238264,239796,"-",11845190,,"KPHS_02060","YP_005224506.1",510,"sensor domain-containing diguanylate cyclase"
"chromosome","NC_016845.1",239909,240031,"+",11845191,,"KPHS_02070","YP_005224507.1",40,"hypothetical protein KPHS_02070"
"chromosome","NC_016845.1",240113,241246,"-",11845192,,"KPHS_02080","YP_005224508.1",377,"thiazole biosynthesis protein ThiH"
"chromosome","NC_016845.1",241243,242013,"-",11845193,,"KPHS_02090","YP_005224509.1",256,"thiamin biosynthesis ThiGH complex subunit for thiazole moiety"
"chromosome","NC_016845.1",242015,242215,"-",11845194,,"KPHS_02100","YP_005224510.1",66,"sulfur carrier protein ThiS"
"chromosome","NC_016845.1",242199,242954,"-",11845195,,"KPHS_02110","YP_005224511.1",251,"thiamine biosynthesis protein ThiF"
"chromosome","NC_016845.1",242947,243582,"-",11845196,,"KPHS_02120","YP_005224512.1",211,"thiamine-phosphate pyrophosphorylase"
"chromosome","NC_016845.1",243582,245477,"-",11845197,,"KPHS_02130","YP_005224513.1",631,"thiamin biosynthesis protein for pyrimidine moiety"
