gene_id	gene_name	chromosome	start	end	strand	type
ENSG00000229344.1	MTCO2P12	chr1	632757	633438	+	unprocessed_pseudogene
ENSG00000240409.1	MTATP8P1	chr1	633535	633741	+	unprocessed_pseudogene
ENSG00000248527.1	MTATP6P1	chr1	633696	634376	+	unprocessed_pseudogene
ENSG00000198744.5	MTCO3P12	chr1	634376	634922	+	unprocessed_pseudogene
ENSG00000268663.1	WBP1LP6	chr1	674842	675265	+	processed_pseudogene
ENSG00000284662.1	OR4F16	chr1	685679	686673	-	protein_coding
ENSG00000229376.3	CICP3	chr1	722092	724903	+	processed_pseudogene
ENSG00000228327.3	AL669831.1	chr1	725885	778626	-	transcribed_unprocessed_pseudogene
ENSG00000223181.1	RNU6-1199P	chr1	758233	758336	-	snRNA
ENSG00000229905.1	AL669831.2	chr1	760911	761989	+	antisense
ENSG00000237491.8	AL669831.5	chr1	778770	810060	+	lincRNA
ENSG00000285268.1	AL669831.7	chr1	781937	782050	+	transcribed_processed_pseudogene
ENSG00000230092.7	AL669831.4	chr1	800879	817712	-	transcribed_unprocessed_pseudogene
ENSG00000177757.2	FAM87B	chr1	817371	819837	+	lincRNA
ENSG00000228794.8	LINC01128	chr1	825138	859446	+	processed_transcript
ENSG00000225880.5	LINC00115	chr1	826206	827522	-	lincRNA
ENSG00000230368.2	FAM41C	chr1	868071	876903	-	lincRNA
ENSG00000234711.1	TUBB8P11	chr1	873292	874349	+	unprocessed_pseudogene
ENSG00000283040.1	AL669831.6	chr1	874529	877234	-	transcribed_unprocessed_pseudogene
ENSG00000272438.1	AL645608.6	chr1	904834	915976	+	lincRNA
ENSG00000230699.2	AL645608.2	chr1	911435	914948	+	lincRNA
ENSG00000241180.1	AL645608.4	chr1	914171	914971	+	lincRNA
ENSG00000223764.2	LINC02593	chr1	916865	921016	-	lincRNA
ENSG00000187634.11	SAMD11	chr1	923928	944581	+	protein_coding
ENSG00000188976.10	NOC2L	chr1	944204	959309	-	protein_coding
ENSG00000187961.13	KLHL17	chr1	960587	965715	+	protein_coding
ENSG00000187583.10	PLEKHN1	chr1	966497	975865	+	protein_coding
ENSG00000187642.9	PERM1	chr1	975204	982093	-	protein_coding
ENSG00000272512.1	AL645608.7	chr1	995966	998051	-	lincRNA
ENSG00000188290.10	HES4	chr1	998962	1000172	-	protein_coding
ENSG00000187608.9	ISG15	chr1	1001138	1014540	+	protein_coding
ENSG00000231702.2	AL645608.3	chr1	1008076	1008229	-	processed_pseudogene
ENSG00000224969.1	AL645608.1	chr1	1011997	1013193	-	antisense
ENSG00000188157.14	AGRN	chr1	1020123	1056118	+	protein_coding
ENSG00000242590.1	AL645608.5	chr1	1055033	1056116	+	sense_intronic
ENSG00000217801.9	AL390719.1	chr1	1059734	1069355	+	transcribed_unprocessed_pseudogene
ENSG00000273443.1	AL645608.8	chr1	1062208	1063288	-	lincRNA
ENSG00000237330.2	RNF223	chr1	1070966	1074307	-	protein_coding
ENSG00000131591.17	C1orf159	chr1	1081818	1116361	-	protein_coding
ENSG00000285812.1	AL390719.3	chr1	1097585	1104598	+	antisense
ENSG00000223823.1	LINC01342	chr1	1137017	1144056	+	lincRNA
ENSG00000207730.3	MIR200B	chr1	1167104	1167198	+	miRNA
ENSG00000207607.3	MIR200A	chr1	1167863	1167952	+	miRNA
ENSG00000198976.1	MIR429	chr1	1169005	1169087	+	miRNA
ENSG00000272141.1	AL390719.2	chr1	1169357	1170343	+	lincRNA
ENSG00000205231.1	TTLL10-AS1	chr1	1173056	1179555	-	antisense
ENSG00000162571.13	TTLL10	chr1	1173884	1197935	+	protein_coding
ENSG00000186891.13	TNFRSF18	chr1	1203508	1206691	-	protein_coding
ENSG00000186827.10	TNFRSF4	chr1	1211326	1214138	-	protein_coding
ENSG00000078808.16	SDF4	chr1	1216908	1232031	-	protein_coding
ENSG00000176022.5	B3GALT6	chr1	1232226	1235041	+	protein_coding
ENSG00000184163.3	C1QTNF12	chr1	1242446	1246722	-	protein_coding
ENSG00000260179.1	AL162741.1	chr1	1249777	1251334	-	lincRNA
ENSG00000160087.20	UBE2J2	chr1	1253909	1273885	-	protein_coding
ENSG00000230415.1	LINC01786	chr1	1275223	1280420	+	lincRNA
ENSG00000162572.20	SCNN1D	chr1	1280436	1292029	+	protein_coding
ENSG00000131584.18	ACAP3	chr1	1292376	1309609	-	protein_coding
ENSG00000278073.1	MIR6726	chr1	1296110	1296170	-	miRNA
ENSG00000169972.11	PUSL1	chr1	1308567	1311677	+	protein_coding
ENSG00000127054.20	INTS11	chr1	1311585	1324691	-	protein_coding
ENSG00000283712.1	MIR6727	chr1	1312502	1312566	-	miRNA
ENSG00000240731.1	AL139287.1	chr1	1317581	1318689	-	sense_intronic
ENSG00000224051.6	CPTP	chr1	1324756	1328897	+	protein_coding
ENSG00000169962.4	TAS1R3	chr1	1331314	1335306	+	protein_coding
ENSG00000107404.19	DVL1	chr1	1335276	1349350	-	protein_coding
ENSG00000284372.1	MIR6808	chr1	1339650	1339708	-	miRNA
ENSG00000162576.16	MXRA8	chr1	1352689	1361777	-	protein_coding
ENSG00000175756.13	AURKAIP1	chr1	1373730	1375495	-	protein_coding
ENSG00000223663.2	NDUFB4P8	chr1	1378666	1379032	+	processed_pseudogene
ENSG00000221978.11	CCNL2	chr1	1385711	1399328	-	protein_coding
ENSG00000224870.6	AL391244.1	chr1	1399522	1402046	+	processed_transcript
ENSG00000242485.5	MRPL20	chr1	1401908	1407313	-	protein_coding
ENSG00000264293.2	RN7SL657P	chr1	1405460	1405752	-	misc_RNA
ENSG00000272455.1	AL391244.3	chr1	1409096	1410618	+	lincRNA
ENSG00000235098.8	ANKRD65	chr1	1418420	1421769	-	protein_coding
ENSG00000225905.1	AL391244.2	chr1	1420245	1422691	+	antisense
ENSG00000205116.3	TMEM88B	chr1	1426128	1427787	+	protein_coding
ENSG00000225285.1	LINC01770	chr1	1430539	1434573	-	lincRNA
ENSG00000179403.11	VWA1	chr1	1434861	1442882	+	protein_coding
ENSG00000215915.9	ATAD3C	chr1	1449689	1470158	+	protein_coding
ENSG00000160072.19	ATAD3B	chr1	1471769	1497848	+	protein_coding
ENSG00000284740.1	AL645728.2	chr1	1503250	1509452	+	transcribed_unprocessed_pseudogene
ENSG00000197785.13	ATAD3A	chr1	1512151	1534687	+	protein_coding
ENSG00000205090.8	TMEM240	chr1	1535174	1540453	-	protein_coding
ENSG00000160075.11	SSU72	chr1	1541673	1574869	-	protein_coding
ENSG00000215014.5	AL645728.1	chr1	1574102	1577075	+	processed_transcript
ENSG00000274481.1	AL691432.3	chr1	1583510	1583909	-	processed_pseudogene
ENSG00000228594.3	FNDC10	chr1	1598012	1600096	-	protein_coding
ENSG00000272106.1	AL691432.2	chr1	1613758	1615795	-	antisense
ENSG00000197530.12	MIB2	chr1	1615415	1630610	+	protein_coding
ENSG00000189409.13	MMP23B	chr1	1632095	1635263	+	protein_coding
ENSG00000248333.8	CDK11B	chr1	1635227	1659012	-	protein_coding
ENSG00000272004.1	FO704657.1	chr1	1659325	1662602	+	antisense
ENSG00000189339.11	SLC35E2B	chr1	1659529	1692728	-	protein_coding
ENSG00000269737.2	AL691432.1	chr1	1671990	1674397	+	transcribed_processed_pseudogene
ENSG00000215914.4	MMP23A	chr1	1699942	1701782	+	unprocessed_pseudogene
ENSG00000008128.22	CDK11A	chr1	1702730	1724324	-	protein_coding
ENSG00000268575.1	AL031282.2	chr1	1702736	1737688	-	processed_transcript
ENSG00000227775.3	AL031282.1	chr1	1724512	1737251	+	transcribed_processed_pseudogene
ENSG00000215790.7	SLC35E2A	chr1	1724838	1745999	-	protein_coding
ENSG00000008130.15	NADK	chr1	1751232	1780457	-	protein_coding
ENSG00000078369.17	GNB1	chr1	1785285	1891117	-	protein_coding
ENSG00000231050.1	AL109917.1	chr1	1891471	1892658	+	antisense
ENSG00000169885.9	CALML6	chr1	1914827	1917296	+	protein_coding
ENSG00000178821.12	TMEM52	chr1	1917590	1919273	-	protein_coding
ENSG00000142609.18	CFAP74	chr1	1921951	2003837	-	protein_coding
ENSG00000233542.1	AL391845.2	chr1	2013213	2015530	-	antisense
ENSG00000187730.8	GABRD	chr1	2019298	2030758	+	protein_coding
ENSG00000226969.1	AL391845.1	chr1	2049203	2050070	-	antisense
ENSG00000067606.16	PRKCZ	chr1	2050470	2185395	+	protein_coding
ENSG00000271806.1	AL590822.2	chr1	2141084	2145279	-	antisense
ENSG00000182873.5	PRKCZ-AS1	chr1	2181794	2184389	-	antisense
ENSG00000162585.16	FAAP20	chr1	2184461	2212720	-	protein_coding
ENSG00000234396.3	AL590822.1	chr1	2212523	2220738	+	lincRNA
ENSG00000157933.9	SKI	chr1	2228695	2310119	+	protein_coding
ENSG00000116151.13	MORN1	chr1	2321253	2391707	-	protein_coding
ENSG00000272161.1	AL589739.1	chr1	2326201	2326693	-	sense_intronic
ENSG00000269896.2	AL513477.1	chr1	2350414	2352820	-	transcribed_processed_pseudogene
ENSG00000272420.1	AL513477.2	chr1	2363061	2363628	-	sense_intronic
ENSG00000157916.19	RER1	chr1	2391775	2405444	+	protein_coding
ENSG00000157911.10	PEX10	chr1	2403964	2413797	-	protein_coding
ENSG00000149527.17	PLCH2	chr1	2425980	2505530	+	protein_coding
ENSG00000224387.1	AL139246.1	chr1	2492300	2493258	-	antisense
ENSG00000229393.1	AL139246.4	chr1	2493437	2494479	-	antisense
ENSG00000157881.13	PANK4	chr1	2508533	2526628	-	protein_coding
ENSG00000197921.5	HES5	chr1	2528745	2530245	-	protein_coding
ENSG00000272449.2	AL139246.5	chr1	2530064	2547460	+	lincRNA
ENSG00000238164.6	TNFRSF14-AS1	chr1	2549920	2557031	-	antisense
ENSG00000157873.17	TNFRSF14	chr1	2555639	2565382	+	protein_coding
ENSG00000225931.3	AL139246.2	chr1	2566410	2569888	+	TEC
ENSG00000228037.1	AL139246.3	chr1	2581560	2584533	+	lincRNA
ENSG00000157870.15	PRXL2B	chr1	2586491	2591469	+	protein_coding
ENSG00000142606.15	MMEL1	chr1	2590639	2632990	-	protein_coding
ENSG00000237058.1	AL831784.1	chr1	2632568	2636620	+	antisense
ENSG00000215912.12	TTC34	chr1	2635976	2801717	-	protein_coding
ENSG00000285945.1	AC242022.2	chr1	2768091	2784733	+	lincRNA
ENSG00000283259.1	AC242022.1	chr1	2773603	2776473	+	antisense
ENSG00000233234.1	AL592464.2	chr1	2811850	2812692	-	lincRNA
ENSG00000231630.1	AL592464.1	chr1	2814432	2814998	-	lincRNA
ENSG00000284745.1	AL589702.1	chr1	2960658	2968707	-	lincRNA
ENSG00000169717.6	ACTRT2	chr1	3021483	3022903	+	protein_coding
ENSG00000177133.10	LINC00982	chr1	3059615	3068437	-	antisense
ENSG00000142611.16	PRDM16	chr1	3069168	3438621	+	protein_coding
ENSG00000283572.1	MIR4251	chr1	3127975	3128035	+	miRNA
ENSG00000226286.1	AL008733.1	chr1	3132927	3133709	-	antisense
ENSG00000279839.1	AL512383.1	chr1	3205988	3208664	+	TEC
ENSG00000272235.1	AL590438.1	chr1	3306636	3310096	-	lincRNA
ENSG00000130762.14	ARHGEF16	chr1	3454426	3481113	+	protein_coding
ENSG00000272088.1	AL512413.1	chr1	3487246	3487627	+	lincRNA
ENSG00000162591.15	MEGF6	chr1	3489920	3611495	-	protein_coding
ENSG00000207776.1	MIR551A	chr1	3560695	3560790	-	miRNA
ENSG00000238260.1	AL513320.1	chr1	3623190	3624743	-	antisense
ENSG00000158109.14	TPRG1L	chr1	3625002	3630127	+	protein_coding
ENSG00000116213.15	WRAP73	chr1	3630767	3652761	-	protein_coding
ENSG00000078900.14	TP73	chr1	3652520	3736201	+	protein_coding
ENSG00000227589.1	AL136528.1	chr1	3658938	3668772	-	antisense
ENSG00000235131.1	AL136528.2	chr1	3712200	3714298	-	antisense
ENSG00000227372.12	TP73-AS1	chr1	3735511	3747373	-	transcribed_unitary_pseudogene
ENSG00000276189.1	RF02197	chr1	3736943	3737103	+	misc_RNA
ENSG00000162592.9	CCDC27	chr1	3746460	3771645	+	protein_coding
ENSG00000235169.8	SMIM1	chr1	3772761	3775982	+	protein_coding
ENSG00000130764.9	LRRC47	chr1	3778558	3796504	-	protein_coding
ENSG00000266075.2	RN7SL574P	chr1	3782815	3783111	+	misc_RNA
ENSG00000272153.1	AL365330.1	chr1	3785008	3785538	+	antisense
ENSG00000116198.12	CEP104	chr1	3812081	3857214	-	protein_coding
ENSG00000169598.15	DFFB	chr1	3857267	3885429	+	protein_coding
ENSG00000198912.10	C1orf174	chr1	3889125	3900293	-	protein_coding
ENSG00000236423.5	LINC01134	chr1	3900372	3917225	+	lincRNA
ENSG00000233304.6	LINC01346	chr1	3940565	3955262	+	lincRNA
ENSG00000226374.2	LINC01345	chr1	3944547	3948980	-	lincRNA
ENSG00000284668.1	AL805961.1	chr1	3976133	4012699	+	lincRNA
ENSG00000284703.1	AL805961.2	chr1	4012921	4019508	-	lincRNA
ENSG00000229280.1	EEF1DP6	chr1	4175528	4175899	-	processed_pseudogene
ENSG00000235054.3	LINC01777	chr1	4412027	4424689	+	lincRNA
ENSG00000284694.1	AL355602.1	chr1	4479131	4484375	-	lincRNA
ENSG00000227169.2	Z98747.1	chr1	4551735	4552145	-	lincRNA
ENSG00000232596.2	LINC01646	chr1	4571481	4594009	+	lincRNA
ENSG00000196581.10	AJAP1	chr1	4654732	4792534	+	protein_coding
ENSG00000284739.1	BX005132.2	chr1	4963954	4973298	-	lincRNA
ENSG00000284674.1	BX005132.1	chr1	4973381	4981568	+	lincRNA
ENSG00000231510.1	AL691497.1	chr1	5086459	5090899	-	lincRNA
ENSG00000284616.1	AL139823.1	chr1	5301928	5307394	-	lincRNA
ENSG00000284692.2	Z98259.3	chr1	5478736	5493057	-	lincRNA
ENSG00000284666.1	Z98259.2	chr1	5480787	5482028	-	lincRNA
ENSG00000260972.1	Z98259.1	chr1	5492978	5494674	+	lincRNA
ENSG00000283356.1	Z97988.1	chr1	5554747	5554881	+	unprocessed_pseudogene
ENSG00000236948.2	AL365255.1	chr1	5561709	5668295	-	lincRNA
ENSG00000264341.1	MIR4417	chr1	5564071	5564143	+	miRNA
ENSG00000264101.1	MIR4689	chr1	5862672	5862741	-	miRNA
ENSG00000131697.17	NPHP4	chr1	5862811	5992473	-	protein_coding
ENSG00000069424.14	KCNAB2	chr1	5991466	6101193	+	protein_coding
ENSG00000116254.17	CHD5	chr1	6101793	6180123	-	protein_coding
ENSG00000285629.1	AL031847.2	chr1	6159430	6197757	-	protein_coding
ENSG00000116251.10	RPL22	chr1	6185020	6209389	-	protein_coding
ENSG00000226944.1	AL031847.1	chr1	6204840	6205780	-	antisense
ENSG00000158286.12	RNF207	chr1	6205475	6221299	+	protein_coding
ENSG00000116237.15	ICMT	chr1	6221193	6235972	-	protein_coding
ENSG00000225077.3	LINC00337	chr1	6234692	6239444	+	lincRNA
ENSG00000173673.7	HES3	chr1	6244192	6245578	+	protein_coding
ENSG00000158292.6	GPR153	chr1	6247346	6260975	-	protein_coding
ENSG00000097021.19	ACOT7	chr1	6264269	6394391	-	protein_coding
ENSG00000271746.1	AL031848.2	chr1	6393555	6394391	+	antisense
ENSG00000069812.11	HES2	chr1	6412418	6424670	-	protein_coding
ENSG00000187017.16	ESPN	chr1	6424776	6461367	+	protein_coding
ENSG00000265392.1	MIR4252	chr1	6429834	6429896	-	miRNA
ENSG00000231868.1	AL031848.1	chr1	6443034	6447006	-	antisense
ENSG00000215788.10	TNFRSF25	chr1	6460786	6466195	-	protein_coding
ENSG00000171680.21	PLEKHG5	chr1	6466092	6520061	-	protein_coding
ENSG00000162408.10	NOL9	chr1	6521347	6554535	-	protein_coding
ENSG00000253022.1	RNU6-731P	chr1	6540854	6540964	+	snRNA
ENSG00000229519.2	AL591866.1	chr1	6547905	6548619	+	processed_pseudogene
ENSG00000173662.20	TAS1R1	chr1	6555181	6579757	+	protein_coding
ENSG00000204859.12	ZBTB48	chr1	6580001	6589280	+	protein_coding
ENSG00000162413.16	KLHL21	chr1	6590724	6614607	-	protein_coding
ENSG00000116273.5	PHF13	chr1	6613685	6624033	+	protein_coding
ENSG00000041988.15	THAP3	chr1	6624866	6635586	+	protein_coding
ENSG00000007923.15	DNAJC11	chr1	6634168	6701924	-	protein_coding
ENSG00000228750.6	LINC01672	chr1	6724637	6730012	+	lincRNA
ENSG00000284744.1	AL591163.1	chr1	6767954	6770038	+	lincRNA
ENSG00000237436.1	CAMTA1-DT	chr1	6783892	6784843	-	antisense
ENSG00000171735.18	CAMTA1	chr1	6785324	7769706	+	protein_coding
ENSG00000227950.1	AL590128.1	chr1	6834333	6834618	-	processed_pseudogene
ENSG00000237365.1	AL512330.1	chr1	7008376	7014279	-	antisense
ENSG00000207056.1	RNU1-8P	chr1	7219360	7219524	+	snRNA
ENSG00000237402.1	CAMTA1-IT1	chr1	7368942	7370270	+	sense_intronic
ENSG00000237728.2	Z97987.1	chr1	7382487	7389754	-	antisense
ENSG00000225126.1	AL365194.1	chr1	7441096	7441554	-	antisense
ENSG00000270171.1	AL359881.3	chr1	7693124	7694844	-	lincRNA
ENSG00000270035.1	AL359881.2	chr1	7698303	7698872	-	lincRNA
ENSG00000269978.1	AL359881.1	chr1	7700704	7700970	-	lincRNA
ENSG00000049245.12	VAMP3	chr1	7771269	7781432	+	protein_coding
ENSG00000269925.1	Z98884.2	chr1	7776383	7776775	+	sense_intronic
ENSG00000049246.14	PER3	chr1	7784320	7845177	+	protein_coding
ENSG00000236266.1	Z98884.1	chr1	7810242	7827342	-	antisense
ENSG00000049247.13	UTS2	chr1	7843083	7853512	-	protein_coding
ENSG00000049249.8	TNFRSF9	chr1	7915894	7943165	-	protein_coding
ENSG00000270330.1	AL009183.1	chr1	7942372	7942726	+	processed_pseudogene
ENSG00000116288.12	PARK7	chr1	7954291	7985505	+	protein_coding
ENSG00000200344.1	RF00019	chr1	7982881	7982983	-	misc_RNA
ENSG00000284747.1	AL034417.4	chr1	7991134	8005312	+	antisense
ENSG00000284716.1	AL034417.3	chr1	7998187	7999934	-	lincRNA
ENSG00000116285.12	ERRFI1	chr1	8004404	8026308	-	protein_coding
ENSG00000238290.1	AL034417.2	chr1	8026738	8122702	+	lincRNA
ENSG00000232848.1	AL034417.1	chr1	8057245	8058463	-	processed_pseudogene
ENSG00000229305.1	AL358876.1	chr1	8189824	8192770	+	processed_pseudogene
ENSG00000227634.2	LINC01714	chr1	8202429	8215210	+	lincRNA
ENSG00000200975.1	RNU1-7P	chr1	8206434	8206597	-	snRNA
ENSG00000233645.1	AL358876.2	chr1	8218190	8220529	-	lincRNA
ENSG00000251977.1	RNU6-991P	chr1	8292157	8292263	-	snRNA
ENSG00000162426.14	SLC45A1	chr1	8317826	8344167	+	protein_coding
ENSG00000252254.1	RF00019	chr1	8328067	8328179	+	misc_RNA
ENSG00000142599.17	RERE	chr1	8352397	8817643	-	protein_coding
ENSG00000232912.5	AL096855.1	chr1	8424645	8434838	+	antisense
ENSG00000221083.1	RF00599	chr1	8511795	8511919	-	snoRNA
ENSG00000270282.1	AL096855.2	chr1	8512653	8513021	+	processed_pseudogene
ENSG00000234619.1	RPL7P11	chr1	8750430	8751087	+	processed_pseudogene
ENSG00000224315.2	RPL7P7	chr1	8786211	8786913	-	processed_pseudogene
ENSG00000222511.2	RF00019	chr1	8796571	8796673	-	misc_RNA
ENSG00000226545.1	AL357552.1	chr1	8798475	8799506	+	unprocessed_pseudogene
ENSG00000228423.2	AL357552.2	chr1	8805860	8807051	-	lincRNA
ENSG00000229716.2	RPL23AP19	chr1	8831007	8831375	+	processed_pseudogene
ENSG00000074800.15	ENO1	chr1	8861000	8879250	-	protein_coding
ENSG00000274258.1	MIR6728	chr1	8866502	8866590	-	miRNA
ENSG00000230679.1	ENO1-AS1	chr1	8878835	8879894	+	antisense
ENSG00000201725.1	RNU6-304P	chr1	8883427	8883533	-	snRNA
ENSG00000238249.2	HMGN2P17	chr1	8893409	8894151	+	processed_pseudogene
ENSG00000232208.2	AL139415.1	chr1	8907393	8907744	-	processed_pseudogene
ENSG00000232663.2	AL139415.2	chr1	8909742	8909904	+	processed_pseudogene
ENSG00000131686.14	CA6	chr1	8945867	8975092	+	protein_coding
ENSG00000265141.2	RN7SL451P	chr1	8979576	8979874	-	misc_RNA
ENSG00000197241.3	SLC2A7	chr1	9003300	9026345	-	protein_coding
ENSG00000142583.17	SLC2A5	chr1	9035107	9088478	-	protein_coding
ENSG00000252404.1	RF00424	chr1	9082696	9082879	+	scaRNA
ENSG00000180758.11	GPR157	chr1	9100305	9129170	-	protein_coding
ENSG00000228526.7	MIR34AHG	chr1	9148011	9198906	-	lincRNA
ENSG00000284357.1	MIR34A	chr1	9151668	9151777	-	miRNA
ENSG00000234546.3	LNCTAM34A	chr1	9182004	9196284	+	lincRNA
ENSG00000049239.12	H6PD	chr1	9234775	9271337	+	protein_coding
ENSG00000171621.13	SPSB1	chr1	9292880	9369532	+	protein_coding
ENSG00000284652.1	BX323043.1	chr1	9421098	9422862	-	lincRNA
ENSG00000284693.1	AL928921.2	chr1	9425094	9440564	-	lincRNA
ENSG00000252956.1	RNA5SP40	chr1	9437669	9437778	-	rRNA_pseudogene
ENSG00000235263.1	AL928921.1	chr1	9501092	9503471	-	lincRNA
ENSG00000171612.6	SLC25A33	chr1	9539482	9585179	+	protein_coding
ENSG00000231181.1	AL954705.1	chr1	9576427	9576985	+	processed_pseudogene
ENSG00000188807.12	TMEM201	chr1	9588922	9614873	+	protein_coding
ENSG00000171608.15	PIK3CD	chr1	9651732	9729114	+	protein_coding
ENSG00000179840.5	PIK3CD-AS1	chr1	9652610	9654586	-	antisense
ENSG00000233268.3	AL691449.1	chr1	9660828	9662626	-	processed_pseudogene
ENSG00000231789.2	PIK3CD-AS2	chr1	9672426	9687555	-	antisense
ENSG00000171603.17	CLSTN1	chr1	9729026	9824526	-	protein_coding
ENSG00000271264.1	MZT1P1	chr1	9780822	9781240	+	processed_pseudogene
ENSG00000280113.2	AL357140.3	chr1	9826289	9828271	-	TEC
ENSG00000178585.14	CTNNBIP1	chr1	9848276	9910336	-	protein_coding
ENSG00000223989.1	AL357140.1	chr1	9848318	9850154	+	antisense
ENSG00000285701.1	AL357140.5	chr1	9900614	9908034	+	antisense
ENSG00000162441.11	LZIC	chr1	9922113	9943407	-	protein_coding
ENSG00000228150.1	AL357140.2	chr1	9942923	9949974	+	sense_intronic
ENSG00000173614.13	NMNAT1	chr1	9943428	9985501	+	protein_coding
ENSG00000202415.1	RN7SKP269	chr1	9947318	9947636	+	misc_RNA
ENSG00000283611.2	AL357140.4	chr1	9950572	9960787	-	unitary_pseudogene
ENSG00000265521.1	MIR5697	chr1	9967381	9967458	+	miRNA
ENSG00000241326.1	AL603962.1	chr1	9983141	9984568	+	sense_intronic
ENSG00000162444.11	RBP7	chr1	9997206	10016020	+	protein_coding
ENSG00000130939.18	UBE4B	chr1	10032832	10181239	+	protein_coding
ENSG00000224340.1	AL590639.1	chr1	10054445	10054781	-	processed_pseudogene
ENSG00000233623.2	PGAM1P11	chr1	10058671	10059648	+	processed_pseudogene
ENSG00000201746.1	RNU6-828P	chr1	10163268	10163374	+	snRNA
ENSG00000054523.17	KIF1B	chr1	10210805	10381603	+	protein_coding
ENSG00000264881.1	MIR1273D	chr1	10227718	10227803	+	miRNA
ENSG00000199562.1	RNU6-37P	chr1	10298966	10299072	+	snRNA
ENSG00000264501.2	RN7SL731P	chr1	10306465	10306757	+	misc_RNA
ENSG00000284735.1	AL139424.3	chr1	10381906	10387150	-	lincRNA
ENSG00000284642.1	AL139424.2	chr1	10395416	10397432	+	lincRNA
ENSG00000142657.20	PGD	chr1	10398592	10420144	+	protein_coding
ENSG00000271989.1	AL139424.1	chr1	10429881	10430677	-	antisense
ENSG00000251503.8	CENPS-CORT	chr1	10430102	10452153	+	protein_coding
ENSG00000175279.21	CENPS	chr1	10430443	10442809	+	protein_coding
ENSG00000241563.3	CORT	chr1	10449719	10451902	+	protein_coding
ENSG00000160049.11	DFFA	chr1	10456522	10472526	-	protein_coding
ENSG00000203469.2	AL354956.1	chr1	10458555	10459338	+	antisense
ENSG00000142655.12	PEX14	chr1	10472288	10630758	+	protein_coding
ENSG00000243267.3	RN7SL614P	chr1	10616836	10617115	+	misc_RNA
ENSG00000130940.14	CASZ1	chr1	10636604	10796650	-	protein_coding
ENSG00000272078.1	AL139423.1	chr1	10639241	10654333	+	antisense
ENSG00000225158.2	HSPE1P24	chr1	10895761	10895998	+	processed_pseudogene
ENSG00000175262.14	C1orf127	chr1	10946471	10982037	-	protein_coding
ENSG00000215785.2	CFL1P6	chr1	10990978	10991797	-	processed_pseudogene
ENSG00000120948.17	TARDBP	chr1	11012344	11026420	+	protein_coding
ENSG00000277726.4	AL109811.4	chr1	11012662	11030528	+	protein_coding
ENSG00000009724.16	MASP2	chr1	11026523	11047233	-	protein_coding
